datetime,aqi,pm2_5,pm10,co,no2,o3,so2,month,quarter,hour,season,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2016-06-02 08:00:00,104.0,59.0,157.0,1.2,120.0,6.0,12.0,6,2,8,summer,24.95,-3.39,5.15002,100707.0,-10.55,-3.63,-10.89,0.53,-2.49,4.79,0.92,-45.25,1.43,-3.25,23.57,18.5,26.2,-2.1499900000000003
2016-06-02 11:00:00,98.0,73.0,119.0,1.0,68.0,149.0,19.0,6,2,11,summer,31.19,-2.23,5.55002,100505.0,-10.45,-4.18,-9.41,0.75,-3.6,4.27,2.58,-45.15,4.6,-2.12,28.27,11.9,26.1,-1.9499799999999998
2016-06-02 14:00:00,111.0,41.0,54.0,0.6,12.0,222.0,11.0,6,2,14,summer,32.05,-1.86,5.75,100346.0,-10.35,-3.46,-6.4,0.7,-1.27,2.66,1.41,-44.95,4.09,-1.74,29.45,13.1,28.4,-1.14999
2016-06-02 17:00:00,113.0,41.0,56.0,0.6,14.0,226.0,15.0,6,2,17,summer,31.95,-1.54,6.15002,100192.0,-9.84998,-3.01,-4.7,-0.64,-1.82,1.27,1.3,-44.55,5.14,-1.82,30.35,12.3,27.3,-0.8499760000000001
2016-06-02 20:00:00,79.0,39.0,75.0,0.6,25.0,183.0,8.0,6,2,20,summer,23.75,-0.51,6.65002,100271.0,-10.25,-0.78,-6.9,-1.83,-5.33,0.24,-0.05,-44.55,2.7,-0.9,26.45,17.5,25.6,-1.14999
2016-06-02 23:00:00,69.0,50.0,,1.1,55.0,101.0,13.0,6,2,23,summer,20.95,1.13,6.85001,100315.0,-10.45,2.74,-1.4,-2.31,-7.11,-0.19,-0.73,-44.85,3.56,1.13,22.55,23.2,23.4,-1.25
2016-06-03 02:00:00,78.0,47.0,105.0,1.1,45.0,58.0,11.0,6,2,2,summer,18.95,2.07,6.65002,100282.0,-10.05,5.12,0.7,-3.41,-6.82,1.58,0.54,-44.75,2.49,2.45,20.84,31.5,24.0,-1.25
2016-06-03 05:00:00,69.0,45.0,88.0,1.1,54.0,18.0,6.0,6,2,5,summer,17.15,4.22,6.55002,100249.0,-11.75,5.33,3.6,-3.76,-4.03,0.42,-0.76,-44.55,-0.26,4.64,20.81,38.5,22.5,-1.54999
2016-06-03 08:00:00,110.0,83.0,114.0,1.8,121.0,12.0,28.0,6,2,8,summer,24.35,5.54,5.75,100282.0,-12.75,5.02,9.5,-4.08,-1.63,-2.1,-1.28,-44.05,0.07,6.18,23.04,28.1,20.2,-2.1499900000000003
2016-06-03 11:00:00,129.0,98.0,144.0,1.5,95.0,103.0,31.0,6,2,11,summer,28.35,6.26,4.95001,100165.0,-13.25,5.15,9.4,-4.26,1.59,-8.2,-0.3,-44.15,2.25,4.23,26.69,21.6,14.2,-2.84998
2016-06-03 14:00:00,123.0,93.0,,0.9,33.0,236.0,29.0,6,2,14,summer,27.85,7.03,4.35001,100156.0,-11.95,9.48,10.3,-6.28,2.99,0.45,0.37,-42.05,2.51,3.95,26.57,28.2,16.9,-6.04999
2016-06-03 17:00:00,125.0,68.0,192.0,0.8,23.0,250.0,23.0,6,2,17,summer,28.85,7.82,3.5500199999999995,100091.0,-11.65,4.28,12.2,-6.27,2.84,7.22,3.12,-41.05,2.51,2.83,27.55,25.0,22.9,-6.34998
2016-06-03 20:00:00,166.0,126.0,207.0,1.4,34.0,134.0,32.0,6,2,20,summer,24.15,5.51,3.15002,100084.0,-12.95,1.68,12.6,-7.02,0.2,1.09,1.51,-40.85,2.05,4.93,25.65,29.4,19.5,-5.75
2016-06-03 23:00:00,113.0,85.0,137.0,1.3,32.0,100.0,21.0,6,2,23,summer,21.85,4.16,2.3500099999999997,100097.0,-13.25,1.22,9.3,-5.44,-1.88,0.69,2.29,-42.05,1.54,5.86,23.85,31.0,12.1,-6.04999
2016-06-04 02:00:00,92.0,68.0,75.0,0.8,27.0,98.0,14.0,6,2,2,summer,18.75,4.45,1.0500200000000002,100066.0,-13.95,0.64,3.7,-0.04,-1.63,1.86,0.76,-43.75,0.84,5.84,22.35,39.7,10.4,-6.14999
