aqi,aqi_last,tmp,tmp_last,v850,v850_last,t925,t925_last,p,p_last,t750,t750_last,v750,v750_last,v500,v500_last,u850,u850_last,u925,u925_last,u750,u750_last,u,u_last,t500,t500_last,v,v_last,v925,v925_last,t995,t995_last,rh,rh_last,u500,u500_last,t850,t850_last,season_fall,season_spring,season_summer,season_winter,t_diff,t_diff_last
69.0,79.0,20.95,23.75,1.13,-0.51,6.85001,6.65002,100315.0,100271.0,-10.45,-10.25,2.74,-0.78,-1.4,-6.9,-2.31,-1.83,-7.11,-5.33,-0.19,0.24,-0.73,-0.05,-44.85,-44.55,3.56,2.7,1.13,-0.9,22.55,26.45,23.2,17.5,23.4,25.6,-1.25,-1.14999,0,0,1,0,-1.6000000000000014,-2.6999999999999993
78.0,69.0,18.95,20.95,2.07,1.13,6.65002,6.85001,100282.0,100315.0,-10.05,-10.45,5.12,2.74,0.7,-1.4,-3.41,-2.31,-6.82,-7.11,1.58,-0.19,0.54,-0.73,-44.75,-44.85,2.49,3.56,2.45,1.13,20.84,22.55,31.5,23.2,24.0,23.4,-1.25,-1.25,0,0,1,0,-1.8900000000000006,-1.6000000000000014
69.0,78.0,17.15,18.95,4.22,2.07,6.55002,6.65002,100249.0,100282.0,-11.75,-10.05,5.33,5.12,3.6,0.7,-3.76,-3.41,-4.03,-6.82,0.42,1.58,-0.76,0.54,-44.55,-44.75,-0.26,2.49,4.64,2.45,20.81,20.84,38.5,31.5,22.5,24.0,-1.54999,-1.25,0,0,1,0,-3.66,-1.8900000000000006
110.0,69.0,24.35,17.15,5.54,4.22,5.75,6.55002,100282.0,100249.0,-12.75,-11.75,5.02,5.33,9.5,3.6,-4.08,-3.76,-1.63,-4.03,-2.1,0.42,-1.28,-0.76,-44.05,-44.55,0.07,-0.26,6.18,4.64,23.04,20.81,28.1,38.5,20.2,22.5,-2.1499900000000003,-1.54999,0,0,1,0,1.3100000000000023,-3.66
129.0,110.0,28.35,24.35,6.26,5.54,4.95001,5.75,100165.0,100282.0,-13.25,-12.75,5.15,5.02,9.4,9.5,-4.26,-4.08,1.59,-1.63,-8.2,-2.1,-0.3,-1.28,-44.15,-44.05,2.25,0.07,4.23,6.18,26.69,23.04,21.6,28.1,14.2,20.2,-2.84998,-2.1499900000000003,0,0,1,0,1.6600000000000001,1.3100000000000023
123.0,129.0,27.85,28.35,7.03,6.26,4.35001,4.95001,100156.0,100165.0,-11.95,-13.25,9.48,5.15,10.3,9.4,-6.28,-4.26,2.99,1.59,0.45,-8.2,0.37,-0.3,-42.05,-44.15,2.51,2.25,3.95,4.23,26.57,26.69,28.2,21.6,16.9,14.2,-6.04999,-2.84998,0,0,1,0,1.2800000000000011,1.6600000000000001
125.0,123.0,28.85,27.85,7.82,7.03,3.5500199999999995,4.35001,100091.0,100156.0,-11.65,-11.95,4.28,9.48,12.2,10.3,-6.27,-6.28,2.84,2.99,7.22,0.45,3.12,0.37,-41.05,-42.05,2.51,2.51,2.83,3.95,27.55,26.57,25.0,28.2,22.9,16.9,-6.34998,-6.04999,0,0,1,0,1.3000000000000007,1.2800000000000011
166.0,125.0,24.15,28.85,5.51,7.82,3.15002,3.5500199999999995,100084.0,100091.0,-12.95,-11.65,1.68,4.28,12.6,12.2,-7.02,-6.27,0.2,2.84,1.09,7.22,1.51,3.12,-40.85,-41.05,2.05,2.51,4.93,2.83,25.65,27.55,29.4,25.0,19.5,22.9,-5.75,-6.34998,0,0,1,0,-1.5,1.3000000000000007
113.0,166.0,21.85,24.15,4.16,5.51,2.35001,3.15002,100097.0,100084.0,-13.25,-12.95,1.22,1.68,9.3,12.6,-5.44,-7.02,-1.88,0.2,0.69,1.09,2.29,1.51,-42.05,-40.85,1.54,2.05,5.86,4.93,23.85,25.65,31.0,29.4,12.1,19.5,-6.04999,-5.75,0,0,1,0,-2.0,-1.5
92.0,113.0,18.75,21.85,4.45,4.16,1.0500200000000002,2.35001,100066.0,100097.0,-13.95,-13.25,0.64,1.22,3.7,9.3,-0.04,-5.44,-1.63,-1.88,1.86,0.69,0.76,2.29,-43.75,-42.05,0.84,1.54,5.84,5.86,22.35,23.85,39.7,31.0,10.4,12.1,-6.14999,-6.04999,0,0,1,0,-3.6000000000000014,-2.0
105.0,92.0,19.65,18.75,2.42,4.45,0.6500239999999999,1.0500200000000002,100138.0,100066.0,-13.35,-13.95,-1.07,0.64,-0.5,3.7,2.78,-0.04,-2.13,-1.63,4.88,1.86,0.48,0.76,-45.75,-43.75,0.27,0.84,6.5,5.84,21.95,22.35,41.2,39.7,9.0,10.4,-5.25,-6.14999,0,0,1,0,-2.3000000000000007,-3.6000000000000014
128.0,105.0,22.65,19.65,2.44,2.42,0.450012,0.6500239999999999,100235.0,100138.0,-13.25,-13.35,-1.25,-1.07,-2.2,-0.5,1.08,2.78,-2.95,-2.13,2.49,4.88,-0.19,0.48,-46.95,-45.75,0.71,0.27,6.22,6.5,21.95,21.95,38.3,41.2,7.4,9.0,-5.75,-5.25,0,0,1,0,0.6999999999999993,-2.3000000000000007
156.0,128.0,27.75,22.65,1.18,2.44,1.35001,0.450012,100155.0,100235.0,-13.15,-13.25,-0.5,-1.25,-1.6,-2.2,1.89,1.08,-1.82,-2.95,0.71,2.49,-0.16,-0.19,-47.75,-46.95,1.94,0.71,5.73,6.22,25.96,21.95,30.3,38.3,6.2,7.4,-5.44998,-5.75,0,0,1,0,1.7899999999999991,0.6999999999999993
129.0,156.0,28.25,27.75,1.25,1.18,2.15002,1.35001,100217.0,100155.0,-12.8153,-13.15,-0.56,-0.5,-2.7,-1.6,-1.09,1.89,-1.36,-1.82,0.26,0.71,-2.0,-0.16,-48.05,-47.75,0.56,1.94,4.25,5.73,26.87,25.96,28.7,30.3,4.0,6.2,-5.75,-5.44998,0,0,1,0,1.379999999999999,1.7899999999999991
129.0,129.0,30.15,28.25,1.65,1.25,2.45001,2.15002,100179.0,100217.0,-12.85,-12.8153,-1.41,-0.56,-3.1,-2.7,-1.73,-1.09,-1.35,-1.36,-0.44,0.26,-2.06,-2.0,-48.35,-48.05,1.9,0.56,3.38,4.25,28.55,26.87,26.2,28.7,-0.6,4.0,-5.64999,-5.75,0,0,1,0,1.5999999999999979,1.379999999999999
110.0,129.0,24.65,30.15,2.12,1.65,2.95001,2.45001,100250.0,100179.0,-12.75,-12.85,-0.42,-1.41,-4.7,-3.1,-4.63,-1.73,-4.23,-1.35,-1.09,-0.44,-1.95,-2.06,-48.75,-48.35,3.21,1.9,3.2,3.38,26.45,28.55,39.9,26.2,-5.8,-0.6,-5.34998,-5.64999,0,0,1,0,-1.8000000000000007,1.5999999999999979
102.0,110.0,20.75,24.65,4.63,2.12,2.05002,2.95001,100423.0,100250.0,-12.65,-12.75,0.05,-0.42,-3.5,-4.7,-7.74,-4.63,-4.29,-4.23,-1.45,-1.09,-0.58,-1.95,-48.95,-48.75,3.3,3.21,4.22,3.2,21.95,26.45,58.2,39.9,-3.1,-5.8,-4.84998,-5.34998,0,0,1,0,-1.1999999999999993,-1.8000000000000007
150.0,102.0,18.35,20.75,6.83,4.63,1.25,2.05002,100547.0,100423.0,-12.7932,-12.65,0.92,0.05,-1.0,-3.5,-6.44,-7.74,-5.65,-4.29,-1.36,-1.45,-2.83,-0.58,-48.85,-48.95,-1.5,3.3,4.89,4.22,19.25,21.95,63.8,58.2,3.9,-3.1,-4.44998,-4.84998,0,0,1,0,-0.8999999999999986,-1.1999999999999993
79.0,150.0,16.45,18.35,5.19,6.83,2.55002,1.25,100602.0,100547.0,-12.95,-12.7932,1.82,0.92,-1.3,-1.0,-1.96,-6.44,-4.76,-5.65,0.01,-1.36,-2.49,-2.83,-48.95,-48.85,-0.66,-1.5,5.64,4.89,17.85,19.25,65.1,63.8,4.7,3.9,-4.44998,-4.44998,0,0,1,0,-1.4000000000000021,-0.8999999999999986
87.0,79.0,23.35,16.45,1.85,5.19,2.75,2.55002,100652.0,100602.0,-12.55,-12.95,1.95,1.82,1.3,-1.3,-3.05,-1.96,-3.04,-4.76,-0.81,0.01,-1.81,-2.49,-49.05,-48.95,0.02,-0.66,3.42,5.64,21.95,17.85,43.4,65.1,5.8,4.7,-4.75,-4.44998,0,0,1,0,1.4000000000000021,-1.4000000000000021
113.0,87.0,29.85,23.35,1.84,1.85,2.45001,2.75,100501.0,100652.0,-12.85,-12.55,2.08,1.95,2.3,1.3,-4.38,-3.05,-2.52,-3.04,1.0,-0.81,-0.62,-1.81,-49.35,-49.05,1.56,0.02,2.29,3.42,27.0,21.95,28.3,43.4,5.8,5.8,-4.25,-4.75,0,0,1,0,2.8500000000000014,1.4000000000000021
128.0,113.0,31.15,29.85,1.06,1.84,1.75,2.45001,100400.0,100501.0,-13.15,-12.85,0.8,2.08,3.2,2.3,-4.85,-4.38,-2.62,-2.52,1.36,1.0,0.24,-0.62,-48.85,-49.35,2.48,1.56,0.68,2.29,29.05,27.0,23.9,28.3,7.0,5.8,-4.34998,-4.25,0,0,1,0,2.099999999999998,2.8500000000000014
124.0,128.0,31.35,31.15,-0.42,1.06,1.5500200000000002,1.75,100271.0,100400.0,-12.95,-13.15,-0.44,0.8,-1.2,3.2,-3.09,-4.85,0.11,-2.62,1.25,1.36,-0.68,0.24,-48.25,-48.85,2.01,2.48,0.88,0.68,29.95,29.05,22.3,23.9,8.6,7.0,-4.34998,-4.34998,0,0,1,0,1.4000000000000021,2.099999999999998
54.0,124.0,25.25,31.35,-2.37,-0.42,1.85001,1.5500200000000002,100450.0,100271.0,-12.75,-12.95,-1.28,-0.44,-6.0,-1.2,-2.93,-3.09,-3.42,0.11,1.4,1.25,-2.37,-0.68,-47.55,-48.25,4.42,2.01,-2.1,0.88,25.25,29.95,38.1,22.3,7.7,8.6,-3.84998,-4.34998,0,0,1,0,0.0,1.4000000000000021
68.0,54.0,20.25,25.25,-2.68,-2.37,2.25,1.85001,100577.0,100450.0,-12.95,-12.75,-2.5,-1.28,-10.7,-6.0,-1.76,-2.93,-4.57,-3.42,0.86,1.4,-1.72,-2.37,-47.75,-47.55,3.14,4.42,-0.65,-2.1,20.55,25.25,53.3,38.1,4.0,7.7,-4.04999,-3.84998,0,0,1,0,-0.3000000000000007,0.0
72.0,68.0,17.65,20.25,-3.26,-2.68,2.85001,2.25,100585.0,100577.0,-12.55,-12.95,-3.8,-2.5,-13.3,-10.7,-1.8,-1.76,-2.68,-4.57,0.74,0.86,-2.12,-1.72,-49.05,-47.75,0.56,3.14,-1.05,-0.65,18.05,20.55,68.4,53.3,4.5,4.0,-4.34998,-4.04999,0,0,1,0,-0.40000000000000213,-0.3000000000000007
102.0,72.0,16.25,17.65,-3.35,-3.26,2.65002,2.85001,100618.0,100585.0,-12.15,-12.55,-5.08,-3.8,-8.2,-13.3,-1.65,-1.8,-1.37,-2.68,0.91,0.74,-1.93,-2.12,-49.95,-49.05,-0.35,0.56,-1.75,-1.05,17.25,18.05,81.0,68.4,7.9,4.5,-4.44998,-4.34998,0,0,1,0,-1.0,-0.40000000000000213
