aqi,aqi_last,tmp,tmp_last,v850,v850_last,t925,t925_last,p,p_last,t750,t750_last,v750,v750_last,v500,v500_last,u850,u850_last,u925,u925_last,u750,u750_last,u,u_last,t500,t500_last,v,v_last,v925,v925_last,t995,t995_last,rh,rh_last,u500,u500_last,t850,t850_last,season_fall,season_spring,season_summer,season_winter,t_diff,t_diff_last
500.0,500.0,4.15002,-1.64999,-0.85,-3.3,-5.34998,-5.44998,102330.0,102118.0,-22.85,-22.95,-0.6,-3.51,1.8,0.0,14.28,16.38,9.4,10.65,16.09,21.1,-2.67,-1.95,-49.35,-49.65,0.23,-1.77,-2.2,-4.01,3.1499900000000003,0.690002,34.5,48.6,55.8,53.7,-13.15,-13.45,0,0,0,1,1.0000299999999993,-2.339992
421.0,500.0,6.07001,4.15002,0.29,-0.85,-5.04999,-5.34998,102090.0,102330.0,-22.95,-22.85,0.5,-0.6,3.9,1.8,11.21,14.28,7.81,9.4,16.26,16.09,-1.49,-2.67,-48.55,-49.35,1.77,0.23,0.57,-2.2,5.17001,3.1499900000000003,35.3,34.5,64.9,55.8,-13.45,-13.15,0,0,0,1,0.8999999999999995,1.0000299999999993
397.0,421.0,0.209991,6.07001,0.88,0.29,-5.14999,-5.04999,102119.0,102090.0,-22.65,-22.95,-1.1,0.5,6.1,3.9,9.24,11.21,6.24,7.81,18.19,16.26,-1.91,-1.49,-47.25,-48.55,-0.07,1.77,2.22,0.57,4.45001,5.17001,51.0,35.3,65.0,64.9,-13.55,-13.45,0,0,0,1,-4.240019,0.8999999999999995
406.0,397.0,-0.7399899999999999,0.209991,0.81,0.88,-5.64999,-5.14999,102254.0,102119.0,-22.85,-22.65,-0.52,-1.1,9.9,6.1,8.24,9.24,4.31,6.24,18.8,18.19,-2.04,-1.91,-45.65,-47.25,-0.99,-0.07,1.21,2.22,2.01999,4.45001,55.6,51.0,66.3,65.0,-13.65,-13.55,0,0,0,1,-2.7599799999999997,-4.240019
351.0,406.0,-0.98999,-0.7399899999999999,2.1,0.81,-6.34998,-5.64999,102346.0,102254.0,-23.05,-22.85,1.24,-0.52,13.6,9.9,7.21,8.24,4.4,4.31,15.81,18.8,-1.97,-2.04,-45.15,-45.65,-1.11,-0.99,3.88,1.21,1.04999,2.01999,65.9,55.6,62.8,66.3,-14.05,-13.65,0,0,0,1,-2.03998,-2.7599799999999997
203.0,351.0,-1.57999,-0.98999,0.85,2.1,-7.14999,-6.34998,102451.0,102346.0,-22.85,-23.05,-1.2,1.24,14.3,13.6,4.97,7.21,4.33,4.4,15.2,15.81,-2.19,-1.97,-44.85,-45.15,-0.78,-1.11,6.06,3.88,-0.269989,1.04999,70.8,65.9,58.9,62.8,-14.65,-14.05,0,0,0,1,-1.310001,-2.03998
267.0,203.0,-1.35001,-1.57999,1.54,0.85,-9.14999,-7.14999,102474.0,102451.0,-22.45,-22.85,4.2,-1.2,13.5,14.3,4.24,4.97,1.25,4.33,13.12,15.2,-1.54,-2.19,-45.15,-44.85,-0.92,-0.78,5.57,6.06,0.0599976,-0.269989,67.5,70.8,56.2,58.9,-14.35,-14.65,0,0,0,1,-1.4100076,-1.310001
311.0,267.0,-0.339996,-1.35001,4.33,1.54,-9.34998,-9.14999,102599.0,102474.0,-23.45,-22.45,5.0,4.2,11.3,13.5,3.98,4.24,0.46,1.25,10.3,13.12,-0.99,-1.54,-45.55,-45.15,-1.61,-0.92,6.4,5.57,0.350006,0.0599976,62.4,67.5,50.9,56.2,-14.65,-14.35,0,0,0,1,-0.690002,-1.4100076
301.0,311.0,2.35001,-0.339996,0.87,4.33,-9.75,-9.34998,102703.0,102599.0,-24.55,-23.45,2.3,5.0,8.4,11.3,6.9,3.98,6.66,0.46,9.1,10.3,-1.39,-0.99,-45.75,-45.55,-1.62,-1.61,3.85,6.4,1.56,0.350006,52.3,62.4,46.8,50.9,-15.25,-14.65,0,0,0,1,0.7900100000000001,-0.690002
175.0,301.0,4.39999,2.35001,-0.68,0.87,-9.34998,-9.75,102502.0,102703.0,-24.75,-24.55,0.1,2.3,6.6,8.4,7.49,6.9,8.31,6.66,11.59,9.1,-2.05,-1.39,-46.55,-45.75,-0.27,-1.62,-0.04,3.85,3.44,1.56,45.8,52.3,45.5,46.8,-15.05,-15.25,0,0,0,1,0.9599899999999999,0.7900100000000001
226.0,175.0,-1.19,4.39999,-1.93,-0.68,-8.649989999999999,-9.34998,102542.0,102502.0,-23.55,-24.75,-7.5,0.1,5.5,6.6,7.8,7.49,5.85,8.31,11.93,11.59,-1.33,-2.05,-47.65,-46.55,-0.29,-0.27,-1.05,-0.04,2.76999,3.44,61.5,45.8,45.2,45.5,-14.75,-15.05,0,0,0,1,-3.95999,0.9599899999999999
223.0,226.0,-1.35001,-1.19,-3.92,-1.93,-8.149989999999999,-8.649989999999999,102593.0,102542.0,-22.05,-23.55,-9.4,-7.5,1.6,5.5,7.84,7.8,5.01,5.85,14.1,11.93,-1.59,-1.33,-50.25,-47.65,0.17,-0.29,-1.91,-1.05,2.06,2.76999,57.5,61.5,43.3,45.2,-13.95,-14.75,0,0,0,1,-3.4100099999999998,-3.95999
227.0,223.0,-2.17001,-1.35001,-3.97,-3.92,-7.64999,-8.149989999999999,102569.0,102593.0,-22.25,-22.05,-6.2,-9.4,0.0,1.6,10.48,7.84,4.39,5.01,15.29,14.1,-0.9,-1.59,-51.85,-50.25,0.57,0.17,-1.26,-1.91,1.66,2.06,59.1,57.5,40.3,43.3,-12.95,-13.95,0,0,0,1,-3.8300099999999997,-3.4100099999999998
244.0,227.0,-2.73999,-2.17001,-4.26,-3.97,-7.14999,-7.64999,102476.0,102569.0,-22.55,-22.25,-5.7,-6.2,3.2,0.0,7.76,10.48,5.93,4.39,14.48,15.29,0.65,-0.9,-52.35,-51.85,1.2,0.57,-0.77,-1.26,0.579987,1.66,70.0,59.1,39.0,40.3,-11.75,-12.95,0,0,0,1,-3.319977,-3.8300099999999997
215.0,244.0,-3.64999,-2.73999,-0.13,-4.26,-6.75,-7.14999,102387.0,102476.0,-22.35,-22.55,0.4,-5.7,4.5,3.2,8.43,7.76,5.54,5.93,15.6,14.48,-0.23,0.65,-52.85,-52.35,0.47,1.2,-1.09,-0.77,0.410004,0.579987,78.1,70.0,36.6,39.0,-11.85,-11.75,0,0,0,1,-4.059994,-3.319977
221.0,215.0,-3.25,-3.64999,3.62,-0.13,-6.54999,-6.75,102386.0,102387.0,-22.15,-22.35,4.3,0.4,6.0,4.5,8.96,8.43,3.8,5.54,16.02,15.6,-0.22,-0.23,-51.65,-52.85,0.17,0.47,0.96,-1.09,-0.0799866,0.410004,71.5,78.1,37.5,36.6,-11.85,-11.85,0,0,0,1,-3.1700134,-4.059994
262.0,221.0,2.48001,-3.25,4.24,3.62,-7.25,-6.54999,102356.0,102386.0,-21.75,-22.15,6.8,4.3,5.8,6.0,8.54,8.96,3.6,3.8,16.58,16.02,0.12,-0.22,-50.95,-51.65,0.75,0.17,3.05,0.96,1.48001,-0.0799866,52.9,71.5,36.0,37.5,-12.25,-11.85,0,0,0,1,1.0,-3.1700134
274.0,262.0,4.20999,2.48001,3.34,4.24,-7.14999,-7.25,102089.0,102356.0,-21.75,-21.75,8.8,6.8,7.3,5.8,7.15,8.54,3.36,3.6,14.3,16.58,1.02,0.12,-50.65,-50.95,1.21,0.75,4.16,3.05,3.34,1.48001,53.1,52.9,33.6,36.0,-12.25,-12.25,0,0,0,1,0.8699900000000005,1.0
226.0,274.0,-1.32001,4.20999,3.86,3.34,-7.64999,-7.14999,102026.0,102089.0,-22.65,-21.75,6.6,8.8,6.5,7.3,7.04,7.15,4.81,3.36,11.35,14.3,-0.08,1.02,-50.45,-50.65,0.92,1.21,2.07,4.16,3.29999,3.34,84.3,53.1,29.6,33.6,-12.85,-12.25,0,0,0,1,-4.62,0.8699900000000005
243.0,226.0,-2.32001,-1.32001,4.59,3.86,-8.149989999999999,-7.64999,102074.0,102026.0,-23.05,-22.65,5.7,6.6,5.9,6.5,6.99,7.04,3.6,4.81,11.01,11.35,0.32,-0.08,-50.45,-50.45,0.22,0.92,3.06,2.07,2.22,3.29999,86.5,84.3,27.7,29.6,-13.55,-12.85,0,0,0,1,-4.5400100000000005,-4.62
246.0,243.0,-2.53,-2.32001,5.87,4.59,-8.94998,-8.149989999999999,102043.0,102074.0,-23.05,-23.05,6.4,5.7,5.4,5.9,8.17,6.99,4.56,3.6,12.58,11.01,-0.55,0.32,-50.95,-50.45,0.07,0.22,2.17,3.06,1.69,2.22,87.5,86.5,25.9,27.7,-14.15,-13.55,0,0,0,1,-4.22,-4.5400100000000005
265.0,246.0,-3.07001,-2.53,6.52,5.87,-9.64999,-8.94998,101995.0,102043.0,-23.15,-23.05,9.1,6.4,6.2,5.4,9.77,8.17,3.82,4.56,16.15,12.58,-0.3,-0.55,-51.45,-50.95,-0.27,0.07,2.09,2.17,1.26001,1.69,88.6,87.5,23.5,25.9,-14.95,-14.15,0,0,0,1,-4.33002,-4.22
286.0,265.0,-2.67001,-3.07001,4.8,6.52,-10.45,-9.64999,101949.0,101995.0,-23.55,-23.15,11.1,9.1,5.6,6.2,10.37,9.77,3.56,3.82,17.01,16.15,-0.54,-0.3,-51.25,-51.45,-0.79,-0.27,1.61,2.09,0.940002,1.26001,88.5,88.6,22.8,23.5,-16.35,-14.95,0,0,0,1,-3.610012,-4.33002
256.0,286.0,-0.6799930000000001,-2.67001,8.11,4.8,-11.45,-10.45,102000.0,101949.0,-24.55,-23.55,13.9,11.1,4.2,5.6,13.9,10.37,4.08,3.56,18.79,17.01,-0.15,-0.54,-51.55,-51.25,-1.32,-0.79,2.95,1.61,0.8500059999999999,0.940002,80.1,88.5,21.3,22.8,-16.55,-16.35,0,0,0,1,-1.529999,-3.610012
199.0,256.0,3.04001,-0.6799930000000001,9.45,8.11,-11.95,-11.45,101956.0,102000.0,-25.45,-24.55,17.8,13.9,3.8,4.2,10.67,13.9,2.78,4.08,17.95,18.79,-0.01,-0.15,-52.45,-51.55,-1.67,-1.32,2.14,2.95,2.20001,0.8500059999999999,61.7,80.1,20.8,21.3,-17.55,-16.55,0,0,0,1,0.8400000000000003,-1.529999
213.0,199.0,2.97,3.04001,9.48,9.45,-13.05,-11.95,101863.0,101956.0,-26.15,-25.45,18.1,17.8,3.3,3.8,12.48,10.67,4.53,2.78,18.47,17.95,-2.22,-0.01,-52.25,-52.45,-0.69,-1.67,-0.05,2.14,2.44,2.20001,71.8,61.7,23.1,20.8,-19.25,-17.55,0,0,0,1,0.5300000000000002,0.8400000000000003
150.0,213.0,0.470001,2.97,2.88,9.48,-13.75,-13.05,101890.0,101863.0,-25.65,-26.15,9.0,18.1,1.3,3.3,9.04,12.48,5.06,4.53,18.42,18.47,-2.41,-2.22,-51.55,-52.25,-0.4,-0.69,-1.12,-0.05,0.829987,2.44,90.2,71.8,25.0,23.1,-21.15,-19.25,0,0,0,1,-0.35998600000000003,0.5300000000000002
168.0,150.0,-2.51001,0.470001,-4.47,2.88,-13.25,-13.75,101990.0,101890.0,-23.65,-25.65,-5.6,9.0,-0.1,1.3,2.68,9.04,2.37,5.06,13.75,18.42,-1.73,-2.41,-51.05,-51.55,-0.37,-0.4,-4.46,-1.12,0.019989,0.829987,93.8,90.2,26.2,25.0,-22.45,-21.15,0,0,0,1,-2.5299989999999997,-0.35998600000000003
234.0,168.0,-3.48001,-2.51001,-7.81,-4.47,-13.05,-13.25,101931.0,101990.0,-22.35,-23.65,-9.0,-5.6,-0.5,-0.1,4.16,2.68,4.02,2.37,13.92,13.75,0.05,-1.73,-51.15,-51.05,0.91,-0.37,-3.97,-4.46,0.049987800000000006,0.019989,94.8,93.8,26.0,26.2,-20.35,-22.45,0,0,0,1,-3.5299978,-2.5299989999999997
159.0,234.0,-3.67001,-3.48001,-10.16,-7.81,-13.15,-13.05,101902.0,101931.0,-22.45,-22.35,-10.6,-9.0,0.0,-0.5,5.09,4.16,6.21,4.02,11.71,13.92,1.38,0.05,-50.05,-51.15,0.25,0.91,-5.28,-3.97,-0.25,0.049987800000000006,89.6,94.8,28.7,26.0,-18.25,-20.35,0,0,0,1,-3.42001,-3.5299978
23.0,159.0,-3.79001,-3.67001,-9.4,-10.16,-12.85,-13.15,101865.0,101902.0,-23.05,-22.45,-8.8,-10.6,-0.3,0.0,4.34,5.09,5.22,6.21,10.15,11.71,1.52,1.38,-49.75,-50.05,-1.41,0.25,-7.43,-5.28,-1.01999,-0.25,74.4,89.6,29.7,28.7,-17.25,-18.25,0,0,0,1,-2.77002,-3.42001
22.0,23.0,-3.47,-3.79001,-5.81,-9.4,-12.05,-12.85,101886.0,101865.0,-23.75,-23.05,-2.6,-8.8,0.6,-0.3,4.39,4.34,3.23,5.22,9.6,10.15,2.18,1.52,-48.45,-49.75,-2.67,-1.41,-8.35,-7.43,-1.95001,-1.01999,59.3,74.4,31.6,29.7,-16.85,-17.25,0,0,0,1,-1.5199900000000002,-2.77002
36.0,22.0,1.7000099999999998,-3.47,-5.37,-5.81,-12.25,-12.05,101800.0,101886.0,-25.05,-23.75,-0.3,-2.6,-0.5,0.6,8.34,4.39,5.47,3.23,13.33,9.6,1.83,2.18,-48.25,-48.45,-1.66,-2.67,-8.74,-8.35,0.940002,-1.95001,48.4,59.3,34.4,31.6,-17.85,-16.85,0,0,0,1,0.7600079999999998,-1.5199900000000002
38.0,36.0,4.54001,1.7000099999999998,-6.44,-5.37,-12.45,-12.25,101598.0,101800.0,-26.95,-25.05,-3.34,-0.3,-1.9,-0.5,14.21,8.34,8.42,5.47,19.5,13.33,2.46,1.83,-47.95,-48.25,-1.85,-1.66,-8.32,-8.74,3.98999,0.940002,38.0,48.4,36.4,34.4,-18.75,-17.85,0,0,0,1,0.5500199999999995,0.7600079999999998
17.0,26.0,-2.3999900000000003,-1.69,-12.28,-10.2,-13.65,-13.65,101980.0,101770.0,-30.85,-29.65,-11.14,-9.97,-7.8,-4.4,7.19,11.61,4.66,6.85,14.96,20.59,1.01,1.9,-47.05,-46.25,-4.47,-2.88,-11.99,-11.43,-1.29001,0.410004,56.5,54.7,48.7,45.4,-20.75,-20.95,0,0,0,1,-1.1099800000000002,-2.1000039999999998
21.0,17.0,-2.88,-2.3999900000000003,-10.23,-12.28,-13.85,-13.65,102229.0,101980.0,-31.35,-30.85,-8.6,-11.14,-7.2,-7.8,9.46,7.19,4.99,4.66,13.1,14.96,0.91,1.01,-48.05,-47.05,-5.38,-4.47,-11.07,-11.99,-2.1499900000000003,-1.29001,56.2,56.5,50.3,48.7,-20.45,-20.75,0,0,0,1,-0.7300099999999996,-1.1099800000000002
18.0,21.0,-3.72,-2.88,-9.1,-10.23,-14.25,-13.85,102281.0,102229.0,-31.45,-31.35,-8.52,-8.6,-5.0,-7.2,11.68,9.46,5.74,4.99,15.68,13.1,0.72,0.91,-49.35,-48.05,-5.39,-5.38,-8.43,-11.07,-3.14001,-2.1499900000000003,54.3,56.2,49.6,50.3,-20.95,-20.45,0,0,0,1,-0.57999,-0.7300099999999996
19.0,18.0,-4.60999,-3.72,-6.81,-9.1,-14.05,-14.25,102415.0,102281.0,-30.95,-31.45,-7.7,-8.52,-4.3,-5.0,13.01,11.68,8.13,5.74,18.49,15.68,-0.58,0.72,-50.15,-49.35,-3.54,-5.39,-5.88,-8.43,-4.29001,-3.14001,49.0,54.3,50.0,49.6,-21.15,-20.95,0,0,0,1,-0.31998000000000015,-0.57999
17.0,19.0,0.0400085,-4.60999,-5.31,-6.81,-13.95,-14.05,102347.0,102415.0,-30.55,-30.95,-7.0,-7.7,-5.3,-4.3,14.16,13.01,10.78,8.13,19.56,18.49,-0.86,-0.58,-50.35,-50.15,-2.86,-3.54,-3.08,-5.88,-1.29999,-4.29001,31.5,49.0,53.2,50.0,-20.95,-21.15,0,0,0,1,1.3399985,-0.31998000000000015
32.0,17.0,2.03,0.0400085,-4.6,-5.31,-13.15,-13.95,102084.0,102347.0,-30.05,-30.55,-7.1,-7.0,-4.7,-5.3,16.78,14.16,13.58,10.78,21.2,19.56,1.35,-0.86,-51.05,-50.35,2.06,-2.86,-3.71,-3.08,0.929993,-1.29999,26.0,31.5,56.3,53.2,-20.55,-20.95,0,0,0,1,1.1000069999999997,1.3399985
62.0,32.0,-1.57999,2.03,-5.6,-4.6,-13.25,-13.15,101945.0,102084.0,-29.55,-30.05,-9.1,-7.1,-4.0,-4.7,19.11,16.78,16.22,13.58,22.67,21.2,2.15,1.35,-51.85,-51.05,3.19,2.06,-6.75,-3.71,-0.630005,0.929993,39.3,26.0,57.0,56.3,-19.95,-20.55,0,0,0,1,-0.949985,1.1000069999999997
128.0,62.0,-3.07001,-1.57999,-7.02,-5.6,-14.05,-13.25,101963.0,101945.0,-29.05,-29.55,-7.8,-9.1,-2.8,-4.0,21.41,19.11,16.98,16.22,25.24,22.67,3.28,2.15,-52.65,-51.85,2.16,3.19,-10.32,-6.75,-2.19,-0.630005,44.7,39.3,56.6,57.0,-19.55,-19.95,0,0,0,1,-0.88001,-0.949985
20.0,52.0,-3.92999,-3.10001,-12.3,-11.2,-16.85,-15.05,102517.0,102286.0,-28.85,-28.55,-8.9,-8.5,-3.5,-4.7,24.29,23.79,18.9,18.76,29.3,28.2,-0.86,0.54,-54.65,-54.05,-5.21,-4.58,-14.65,-14.3,-3.39001,-2.29001,39.4,39.4,58.1,58.0,-20.05,-19.05,0,0,0,1,-0.5399799999999999,-0.81
24.0,20.0,-4.63,-3.92999,-10.83,-12.3,-16.85,-16.85,102668.0,102517.0,-29.15,-28.85,-7.8,-8.9,-2.4,-3.5,23.84,24.29,16.4,18.9,29.6,29.3,-0.3,-0.86,-54.85,-54.65,-4.78,-5.21,-13.85,-14.65,-4.32999,-3.39001,36.6,39.4,59.2,58.1,-20.65,-20.05,0,0,0,1,-0.30001000000000033,-0.5399799999999999
54.0,24.0,0.119995,-4.63,-11.49,-10.83,-17.45,-16.85,102678.0,102668.0,-29.25,-29.15,-8.6,-7.8,-3.7,-2.4,22.87,23.84,14.99,16.4,29.7,29.6,2.25,-0.3,-54.75,-54.85,-5.4,-4.78,-13.69,-13.85,-1.03,-4.32999,22.3,36.6,59.0,59.2,-21.15,-20.65,0,0,0,1,1.149995,-0.30001000000000033
20.0,54.0,2.75,0.119995,-11.76,-11.49,-17.35,-17.45,102532.0,102678.0,-29.15,-29.25,-10.1,-8.6,-3.1,-3.7,21.8,22.87,15.33,14.99,28.7,29.7,4.06,2.25,-54.25,-54.75,-2.74,-5.4,-14.36,-13.69,1.64999,-1.03,16.9,22.3,56.4,59.0,-21.15,-21.15,0,0,0,1,1.10001,1.149995
56.0,20.0,-2.35001,2.75,-11.96,-11.76,-17.15,-17.35,102469.0,102532.0,-28.85,-29.15,-10.56,-10.1,-2.0,-3.1,21.94,21.8,15.12,15.33,28.27,28.7,1.83,4.06,-54.55,-54.25,0.73,-2.74,-15.09,-14.36,0.7399899999999999,1.64999,28.3,16.9,53.6,56.4,-21.15,-21.15,0,0,0,1,-3.09,1.10001
94.0,56.0,-2.87,-2.35001,-12.26,-11.96,-17.15,-17.15,102526.0,102469.0,-28.75,-28.85,-9.95,-10.56,-3.6,-2.0,20.72,21.94,14.84,15.12,27.05,28.27,2.48,1.83,-55.55,-54.55,2.02,0.73,-14.21,-15.09,-1.42001,0.7399899999999999,33.4,28.3,53.5,53.6,-21.05,-21.15,0,0,0,1,-1.4499900000000001,-3.09
115.0,94.0,-3.78,-2.87,-10.75,-12.26,-16.65,-17.15,102536.0,102526.0,-29.05,-28.75,-9.24,-9.95,-5.8,-3.6,19.62,20.72,15.13,14.84,25.8,27.05,2.45,2.48,-57.05,-55.55,1.87,2.02,-11.52,-14.21,-2.7099900000000003,-1.42001,37.5,33.4,56.1,53.5,-21.05,-21.05,0,0,0,1,-1.0700099999999995,-1.4499900000000001
115.0,115.0,-5.45999,-3.78,-8.81,-10.75,-16.25,-16.65,102440.0,102536.0,-29.45,-29.05,-8.1,-9.24,-2.2,-5.8,18.81,19.62,15.13,15.13,24.2,25.8,1.0,2.45,-58.35,-57.05,0.92,1.87,-9.15,-11.52,-3.06,-2.7099900000000003,42.2,37.5,56.5,56.1,-21.15,-21.05,0,0,0,1,-2.3999900000000003,-1.0700099999999995
134.0,115.0,-6.45999,-5.45999,-8.07,-8.81,-15.65,-16.25,102328.0,102440.0,-30.05,-29.45,-7.57,-8.1,-2.6,-2.2,18.56,18.81,15.1,15.13,23.4,24.2,0.6,1.0,-57.85,-58.35,0.95,0.92,-8.86,-9.15,-3.57999,-3.06,45.5,42.2,56.1,56.5,-21.25,-21.15,0,0,0,1,-2.8800000000000003,-2.3999900000000003
128.0,134.0,-6.98999,-6.45999,-7.22,-8.07,-15.35,-15.65,102250.0,102328.0,-30.65,-30.05,-6.45,-7.57,-1.2,-2.6,18.14,18.56,13.9,15.1,23.4,23.4,0.54,0.6,-56.15,-57.85,0.45,0.95,-9.09,-8.86,-3.73001,-3.57999,46.0,45.5,54.8,56.1,-21.45,-21.25,0,0,0,1,-3.2599799999999997,-2.8800000000000003
99.0,128.0,-0.0799866,-6.98999,-6.25,-7.22,-15.45,-15.35,102239.0,102250.0,-30.95,-30.65,-5.32,-6.45,-0.8,-1.2,17.91,18.14,12.87,13.9,23.4,23.4,0.69,0.54,-54.65,-56.15,-0.37,0.45,-8.28,-9.09,-1.13,-3.73001,25.0,46.0,53.0,54.8,-21.65,-21.45,0,0,0,1,1.0500133999999999,-3.2599799999999997
147.0,99.0,-1.45001,-0.0799866,-7.61,-6.25,-15.25,-15.45,101838.0,102239.0,-30.95,-30.95,-6.69,-5.32,-0.3,-0.8,18.89,17.91,12.52,12.87,25.0,23.4,1.32,0.69,-53.75,-54.65,0.8,-0.37,-8.02,-8.28,3.82999,-1.13,27.9,25.0,51.9,53.0,-21.85,-21.65,0,0,0,1,-5.28,1.0500133999999999
134.0,147.0,-1.45001,-1.45001,-6.8,-7.61,-15.95,-15.25,101890.0,101838.0,-31.15,-30.95,-6.83,-6.69,-1.6,-0.3,17.74,18.89,11.82,12.52,23.8,25.0,0.57,1.32,-52.85,-53.75,-3.11,0.8,-6.85,-8.02,0.929993,3.82999,32.1,27.9,48.4,51.9,-22.35,-21.85,0,0,0,1,-2.380003,-5.28
41.0,134.0,-2.92001,-1.45001,-6.37,-6.8,-16.35,-15.95,101960.0,101890.0,-31.55,-31.15,-6.68,-6.83,-2.5,-1.6,17.73,17.74,12.53,11.82,23.5,23.8,0.35,0.57,-52.05,-52.85,-3.93,-3.11,-7.19,-6.85,-2.0,0.929993,43.9,32.1,47.7,48.4,-22.65,-22.35,0,0,0,1,-0.92001,-2.380003
33.0,41.0,-3.35001,-2.92001,-7.3,-6.37,-16.65,-16.35,101974.0,101960.0,-32.05,-31.55,-6.82,-6.68,-4.1,-2.5,18.26,17.73,14.13,12.53,23.5,23.5,0.0,0.35,-51.45,-52.05,-4.79,-3.93,-9.27,-7.19,-2.67999,-2.0,43.1,43.9,49.3,47.7,-22.95,-22.65,0,0,0,1,-0.6700200000000001,-0.92001
32.0,33.0,-4.48999,-3.35001,-8.83,-7.3,-17.15,-16.65,101960.0,101974.0,-32.15,-32.05,-7.85,-6.82,-4.8,-4.1,18.37,18.26,14.38,14.13,23.4,23.5,0.05,0.0,-51.35,-51.45,-4.1,-4.79,-11.01,-9.27,-3.94,-2.67999,44.0,43.1,50.8,49.3,-23.05,-22.95,0,0,0,1,-0.5499899999999998,-0.6700200000000001
53.0,32.0,-4.51999,-4.48999,-7.64,-8.83,-17.55,-17.15,101899.0,101960.0,-32.55,-32.15,-6.74,-7.85,-3.5,-4.8,15.28,18.37,11.79,14.38,21.9,23.4,1.33,0.05,-50.45,-51.35,-2.42,-4.1,-9.42,-11.01,-3.32001,-3.94,47.2,44.0,54.1,50.8,-23.75,-23.05,0,0,0,1,-1.19998,-0.5499899999999998
51.0,53.0,1.15002,-4.51999,-6.16,-7.64,-17.45,-17.55,101761.0,101899.0,-33.25,-32.55,-6.44,-6.74,-4.7,-3.5,16.96,15.28,11.95,11.79,24.1,21.9,0.78,1.33,-49.45,-50.45,-0.48,-2.42,-6.89,-9.42,0.019989,-3.32001,29.5,47.2,53.8,54.1,-24.25,-23.75,0,0,0,1,1.130031,-1.19998
92.0,51.0,4.65002,1.15002,-8.94,-6.16,-17.15,-17.45,101517.0,101761.0,-33.25,-33.25,-9.12,-6.44,-4.9,-4.7,17.91,16.96,15.52,11.95,20.7,24.1,1.54,0.78,-48.35,-49.45,2.83,-0.48,-11.39,-6.89,3.73001,0.019989,24.8,29.5,52.1,53.8,-23.95,-24.25,0,0,0,1,0.9200099999999996,1.130031
145.0,92.0,-0.26001,4.65002,-13.67,-8.94,-18.05,-17.15,101428.0,101517.0,-31.35,-33.25,-15.06,-9.12,-6.5,-4.9,20.86,17.91,16.22,15.52,25.2,20.7,1.75,1.54,-50.05,-48.35,2.19,2.83,-12.76,-11.39,2.42999,3.73001,38.5,24.8,49.8,52.1,-23.65,-23.95,0,0,0,1,-2.69,0.9200099999999996
158.0,145.0,-2.10001,-0.26001,-15.46,-13.67,-19.55,-18.05,101489.0,101428.0,-30.45,-31.35,-17.13,-15.06,-7.2,-6.5,22.6,20.86,16.86,16.22,28.2,25.2,1.8,1.75,-49.45,-50.05,-0.72,2.19,-14.11,-12.76,1.41,2.42999,41.6,38.5,50.7,49.8,-24.35,-23.65,0,0,0,1,-3.5100100000000003,-2.69
61.0,158.0,-1.69,-2.10001,-18.25,-15.46,-19.55,-19.55,101664.0,101489.0,-29.95,-30.45,-20.34,-17.13,-9.9,-7.2,23.02,22.6,16.56,16.86,31.4,28.2,1.46,1.8,-51.45,-49.45,-4.52,-0.72,-14.97,-14.11,-0.690002,1.41,38.1,41.6,50.7,50.7,-24.45,-24.35,0,0,0,1,-0.9999979999999999,-3.5100100000000003
23.0,61.0,-3.59,-1.69,-20.83,-18.25,-19.45,-19.55,101873.0,101664.0,-28.85,-29.95,-24.01,-20.34,-13.5,-9.9,19.24,23.02,13.14,16.56,28.5,31.4,-0.18,1.46,-52.65,-51.45,-3.9,-4.52,-18.38,-14.97,-2.85001,-0.690002,40.4,38.1,48.7,50.7,-22.45,-24.45,0,0,0,1,-0.7399899999999997,-0.9999979999999999
19.0,23.0,-4.79001,-3.59,-20.53,-20.83,-18.95,-19.45,101966.0,101873.0,-28.75,-28.85,-22.21,-24.01,-12.6,-13.5,21.31,19.24,14.08,13.14,28.9,28.5,-1.03,-0.18,-52.95,-52.65,-4.17,-3.9,-18.12,-18.38,-4.31,-2.85001,37.0,40.4,49.2,48.7,-22.05,-22.45,0,0,0,1,-0.48001000000000005,-0.7399899999999997
27.0,19.0,-5.73999,-4.79001,-21.21,-20.53,-18.65,-18.95,102125.0,101966.0,-28.95,-28.75,-23.38,-22.21,-14.5,-12.6,20.06,21.31,11.84,14.08,27.4,28.9,-0.77,-1.03,-51.85,-52.95,-3.95,-4.17,-18.89,-18.12,-5.38,-4.31,34.7,37.0,49.7,49.2,-22.25,-22.05,0,0,0,1,-0.3599899999999998,-0.48001000000000005
28.0,27.0,-0.649994,-5.73999,-21.19,-21.21,-18.65,-18.65,102270.0,102125.0,-28.85,-28.95,-24.69,-23.38,-16.2,-14.5,18.03,20.06,8.77,11.84,27.0,27.4,2.53,-0.77,-51.15,-51.85,-6.23,-3.95,-17.8,-18.89,-1.7699900000000002,-5.38,17.8,34.7,49.7,49.7,-22.45,-22.25,0,0,0,1,1.1199960000000002,-0.3599899999999998
