datetime,tmp,v850,t925,p,t750,v750,v500,u850,u925,u750,u,t500,v,v925,t995,rh,u500,t850
2015-10-10 17:00:00,14.33,-17.75,7.45001,101193.0,-5.34998,-16.77,-24.17,11.05,12.76,1.95,7.15,-24.65,-6.93,-15.08,13.91,24.6,9.23,1.05002
2015-10-10 20:00:00,10.69,-20.14,7.55002,101215.0,-2.44998,-19.61,-18.59,9.89,13.25,-1.14,3.13,-23.45,0.11,-11.54,11.69,29.5,5.42,1.65002
2015-10-10 23:00:00,9.89999,-23.4,7.45001,101201.0,-2.34998,-17.36,-18.04,6.53,14.86,0.66,4.17,-21.75,0.03,-16.08,10.92,31.2,7.49,3.25
2015-10-11 02:00:00,9.75,-22.37,8.25,101174.0,-2.14999,-17.2,-18.84,1.74,13.66,0.66,4.46,-18.85,-0.1,-19.23,10.7,34.1,7.75,4.45001
2015-10-11 05:00:00,10.6,-21.11,8.95001,101142.0,-2.04999,-18.92,-20.46,-1.61,8.05,-2.32,4.33,-17.55,-3.24,-19.64,11.56,36.1,4.1,4.05002
2015-10-11 08:00:00,14.07,-17.78,9.85001,101297.0,-2.44998,-20.24,-20.9,-2.02,6.29,-5.91,4.89,-17.75,-4.18,-13.83,13.67,37.0,-0.66,4.05002
2015-10-11 11:00:00,19.23,-14.58,10.45,101352.0,-2.34998,-14.24,-19.56,6.04,8.64,-3.89,6.4,-16.85,-8.82,-13.34,17.81,29.4,-0.81,4.05002
2015-10-11 14:00:00,21.51,-10.18,12.65,101290.0,-3.04999,-10.2,-16.58,5.99,6.49,2.67,4.67,-15.85,-7.16,-9.84,20.16,23.5,-7.85,5.75
2015-10-11 17:00:00,19.34,-12.37,13.25,101318.0,-1.94998,-12.51,-14.36,3.61,3.51,1.48,1.72,-15.15,-4.65,-11.72,19.45,27.0,-2.43,6.45001
2015-10-11 20:00:00,14.75,-12.26,13.25,101510.0,-0.0499878,-12.14,-12.69,3.84,3.47,-0.36,1.28,-15.45,-2.89,-10.74,16.85,33.8,1.67,6.55002
2015-10-11 23:00:00,13.63,-13.9,12.95,101648.0,0.650024,-11.01,-12.16,-0.23,4.82,-0.61,2.0,-15.45,-2.83,-13.03,15.5,36.4,3.27,6.65002
2015-10-12 02:00:00,12.37,-13.67,12.85,101709.0,0.650024,-8.94,-11.87,-4.28,0.66,-1.14,0.79,-15.55,-2.99,-8.41,14.36,38.8,2.04,6.85001
2015-10-12 05:00:00,11.25,-9.32,12.85,101725.0,0.650024,-9.02,-12.53,-1.88,2.49,0.68,0.48,-15.65,-2.53,-7.18,13.88,42.0,3.03,7.25
2015-10-12 08:00:00,14.57,-7.9,12.65,101844.0,0.950012,-8.88,-13.11,1.39,6.11,0.88,2.2,-15.45,-1.37,-7.3,14.05,35.6,1.81,7.35001
2015-10-12 11:00:00,21.42,-7.54,12.95,101773.0,1.35001,-8.39,-12.45,3.07,5.84,1.71,3.46,-15.25,-1.37,-5.05,19.74,21.8,1.92,7.95001
2015-10-12 14:00:00,24.38,-3.89,15.65,101537.0,2.55002,-8.04,-9.45,5.11,3.86,3.62,2.88,-15.45,-0.58,-1.64,23.2,16.5,2.42,8.85001
